DIRECCION_BASE	count
KR 80-DG 02	3
TR 60-DG 70 S	3
CL 11-KR 5 SE	3
CL 67B-KR 63 S	3
AK 86-CL 55 S	3
CL 63-KR 110D	3
DG 54-KR 17	3
KR 11-CL 147	3
KR 78M-CL 37 S	3
CL 187A-KR 8	3
KR 80-CL 58IBIS S	3
AC 68-KR 28	3
KR 110-CL 69B	3
CL 76-KR 28B	3
AK 70-CL 103	3
KR 89-CL 6A	3
KR 59BBIS-CL 128B	3
KR 11-CL 144	3
KR 17A-CL 103	3
AV AVENIDA CIUDAD DE CALI-CL 127A	3
KR 5-CL 13	3
KR 7-CL 155A	3
CL 13-KR 113A	3
AV AVENIDA CIUDAD DE CALI-CL 24A	3
CL 42-KR 78I S	3
AV AVENIDA BOYACA-KR 52 S	3
KR 29C-CL 74	3
DG 39A-TR 38 S	3
AV AVENIDA DEL SUR-CL 36 S	3
KR 86-CL 76	3
CL 40C-KR 79F S	3
KR 62-CL 17	3
AK 27-CL 17 S	3
KR 68D-CL 25	3
CL 62-KR 20B S	3
KR 87I-CL 35B S	3
DG 45D-KR 20	3
DG 14BIS-KR 54	3
KR 69B-CL 19	3
CL 68-KR 65B	3
CL 30A-KR 5A S	3
KR 23C-CL 64 S	3
KR 14A-CL 11 S	3
CL 146B-KR 58D	3
AV AVENIDA BOYACA-CL 71F	3
CL 76-KR 14 S	3
AV AVENIDA LUIS CARLOS GALAN-KR 90	3
KR 87C-CL 66C S	3
AK 24-CL 63F	3
CL 89-KR 7A	3
AV AVENIDA CIUDAD DE CALI-KR 72	3
AV AVENIDA CIUDAD DE CALI-KR 19	3
CL 23F-KR 97	3
KR 16A-CL 80	3
KR 14-CL 78A S	3
KR 62-CL 12	3
KR 47-CL 22A	3
KR 71-CL 98A	3
AV AVENIDA CARACAS-CL 79	3
KR 16-CL 150	3
CL 156-KR 8F	3
CL 59-KR 87C S	3
CL 49-KR 10 SE	3
CL 8-KR 40B S	3
AC 127-KR 11A	3
KR 92-CL 116	3
KR 18-CL 8A	3
CL 76A-KR 14	3
CL 55A-KR 33A S	3
KR 24-CL 26B S	3
AC 57-KR 27	3
KR 120-CL 18A	3
KR 79H-CL 56A S	3
CL 48-KR 25 S	3
KR 18H-CL 80B S	3
KR 18-CL 82	3
CL 18-KR 113	3
KR 72-CL 43 S	3
KR 21-DG 45 S	3
KR 107-CL 80	3
AC 92-KR 7A	3
CL 129C-KR 96	3
CL 34-KR 27 S	3
CL 8-KR 76	3
AV AVENIDA BOYACA-KR 170	3
CL 79A-KR 69B	3
AC 68-KR 65	3
TR 93-CL 65A	3
CL 17-KR 112B	3
DG 52C-KR 28 S	3
KR 13-CL 18 S	3
AV AVENIDA CIUDAD DE CALI-DG 74B	3
CL 29-KR 54 S	3
KR 13F-CL 55 S	3
CL 61-KR 66A S	3
KR 18A-CL 137	3
DG 51A-KR 60D S	3
AV AVENIDA DEL SUR-AC 62	3
KR 156A-CL 135	3
AV AVENIDA CARACAS-CL 17A S	3
CL 145-KR 109B	3
CL 145-KR 100	3
KR 28A-CL 71	3
KR 21-CL 133	3
CL 57-KR 26	3
KR 118-CL 142A	3
CL 65-KR 5	3
KR 8-CL 8A S	3
KR 13-CL 9	3
KR 36-CL 1	3
KR 87-CL 54C S	3
KR 69B-CL 5C	3
CL 165-KR 86	3
KR 56-CL 79	3
KR 106A-CL 70F	3
AV AVENIDA DEL SUR-CL 52	3
KR 111A-CL 22F	3
DG 34-KR 68A S	3
AK 19-CL 118	3
CL 135-KR 53	3
CL 78-KR 60	3
AC 80-KR 70A	3
CL 155-KR 7F	3
AV AVENIDA SUBA-CL 72	3
CL 57B-KR 66 S	3
CL 46-KR 22A S	3
KR 15-CL 89C ES	3
CL 13-KR 64	3
KR 108-CL 19	3
CL 140-KR 10	3
AV AVENIDA CIUDAD DE CALI-AC 15A	3
CL 78-KR 5 S	3
CL 183-KR 49	3
CL 53-KR 17 S	3
KR 19A-CL 12	3
CL 26-KR 4	3
CL 43-KR 78L S	3
KR 87C-CL 68B S	3
CL 63A-KR 72 S	3
CL 186-KR 8C	3
KR 11-CL 127	3
CL 17-KR 109	3
CL 73-KR 77B	3
CL 56-KR 81A S	3
CL 38C-KR 87C S	3
CL 63-KR 81A S	3
AV AVENIDA CARACAS-CL 68A S	3
CL 121-KR 3A	3
AV AVENIDA PRIMERO DE MAYO-KR 24D	3
CL 78-KR 62	3
CL 128-KR 51	3
CL 125-KR 21A	3
KR 80-CL 15	3
KR 19-CL 160	3
CL 157-KR 14A	3
CL 60-KR 72 S	3
KR 6-CL 26B	3
CL 72F-KR 114	3
KR 80J-CL 78 S	3
KR 97B-CL 157A	3
KR 9-CL 182	3
CL 43-KR 80H S	3
AV AVENIDA DE LAS AMERICAS-KR 86G	3
KR 36-CL 26 S	3
KR 14-CL 6 S	3
CL 17-KR 117	3
DG 68A-TR 14T S	3
KR 24B-CL 1	3
AC 63-KR 87	3
DG 47-TR 77C	3
KR 52-CL 71C	3
AV AVENIDA BOYACA-CL 147B	3
AV AVENIDA PRIMERO DE MAYO-KR 42 S	3
KR 19-CL 161	3
DG 61C-KR 27A	3
CL 63-KR 57	3
TR 80A-CL 65F S	3
CL 68F-KR 51	3
KR 71B-CL 53C S	3
KR 69H-CL 78	3
AC 153-KR 101	3
DG 16-KR 116	3
AV AVENIDA DE LAS AMERICAS-KR 79CBIS	3
CL 6-KR 71A	3
AV AVENIDA PRIMERA DE MAYO-KR 24D	3
AV AVENIDA DE LAS AMERICAS-KR 13	3
AC 13-KR 33	3
AV AVENIDA CARACAS-KR 28 S	3
AK 10-CL 3	3
CL 74C-KR 12 SE	3
TR 49-CL 59C S	3
TR 33-CL 57 S	3
DG 92-KR 19	3
AV AVENIDA PRIMERA DE MAYO-CL 69	3
CL 23-KR 19	3
CL 57A-KR 80A S	3
KR 18ABIS-CL 61 S	3
CL 39-KR 10 SE	3
CL 70-KR 14	3
AC 80-KR 73	3
KR 86-CL 64F	3
TR 73B-CL 62B S	3
AV AVENIDA CARACAS-KR 26	3
CL 66A-KR 87	3
CL 27-KR 12HBISA S	3
KR 69-CL 64D	3
AC 13-KR 15	3
CL 39-KR 6 SE	3
KR 20-CL 9A	3
KR 19-CL 105	3
TR 127-CL 138C	3
KR 52C-CL 40 S	3
CL 77B-KR 116B	3
AC 24-KR 59	3
TR 127-AC 132D	3
CL 99-KR 60	3
AK 68-CL 24 S	3
CL 176-KR 51	3
KR 14-CL 82	3
KR 65B-CL 68	3
CL 3-KR 15 S	3
KR 32-CL 12	3
KR 14-CL 90 S	3
CL 74A-KR 68B	3
CL 167-KR 67	3
KR 12-CL 13 ES	3
KR 77H-CL 60 S	3
KR 87C-CL 62B S	3
CL 170-KR 50	3
KR 30-CL 83	3
AV AVENIDA BOYACA-KR 152B	3
KR 83-CL 80	3
AV AVENIDA CIUDAD DE VILLAVICENCIO-KR 80B	3
KR 4-CL 30A	3
CL 68A-KR 84A	3
AV AVENIDA PRIMERO DE MAYO-KR 10B	3
AK 45-CL 237	3
AV AVENIDA BOYACA-CL 22B	3
KR 91-CL 129F	3
AV AVENIDA CIUDAD DE VILLAVICENCIO-TR 70	3
CL 18-KR 17	3
CL 22BIS-KR 9C SE	3
AC 53-KR 50	3
KR 8-CL 11	3
KR 95A-CL 56F S	3
CL 71-KR 35 S	3
AV AVENIDA CARACAS-KR 12B	3
AV AVENIDA CARACAS-CL 134 S	3
AV AVENIDA PRIMERO DE MAYO-CL 42	3
KR 79-CL 47B S	3
KR 74A-CL 71A	3
KR 72A-CL 66	3
AV AVENIDA CIUDAD DE CALI-CL 65 S	3
CL 9-KR 9	3
KR 42B-CL 13	3
KR 78H-CL 40 S	3
KR 97-CL 25D	3
CL 23G-KR 113	3
KR 72-CL 62 S	3
KR 136A-CL 142	3
CL 72-KR 107B	3
KR 20-CL 142	3
AV AVENIDA CIUDAD DE CALI-CL 22A	3
CL 73A-KR 70F	3
CL 129-KR 104	3
AK 86-CL 42B S	3
KR 22A-CL 42 S	3
CL 66-KR 13	3
CL 22-KR 42	3
KR 79-CL 41 S	3
KR 31-CL 10	3
CL 27-KR 12L S	3
KR 89C-CL 42F S	3
CL 16-KR 13	3
CL 74-KR 60	3
KR 68-CL 24BIS	3
KR 11-CL 181	3
CL 73-KR 98B S	3
CL 22B-KR 26	3
AC 6-KR 18B	3
AK 50-CL 44D	3
CL 63-KR 105F	3
AV AVENIDA CIRCUNVALAR-CL 37	3
AV AVENIDA CIUDAD DE VILLAVICENCIO-KR 24	3
CL 66-KR 80	3
KR 95-CL 83	3
CL 138-KR 153A	3
CL 62D-KR 74 S	3
CL 26-KR 83	3
AV AVENIDA CIUDAD DE CALI-CL 23B	3
AC 63-KR 111	3
CL 60A-KR 75C S	3
KR 55-CL 162	3
KR 80-CL 47B	3
AC 13-KR 18	3
KR 16-CL 19	3
CL 68-KR 78C S	3
CL 65-KR 98B S	3
DG 2-KR 80A	3
CL 127-TR 76	3
KR 69C-CL 69	3
DG 61C-KR 24	3
KR 52C-DG 49 S	3
CL 171-KR 116	3
KR 18-CL 1F	3
CL 26-KR 51A S	3
KR 69P-CL 64H	3
AC 6-KR 21	3
KR 10-CL 30B S	3
CL 24D-KR 80A	3
KR 91-CL 69C S	3
AV AVENIDA CIUDAD DE CALI-CL 136	3
AV AVENIDA DE LAS AMERICAS-KR 27B	3
AV AVENIDA PRIMERO DE MAYO-AK 68	3
AV AVENIDA BOYACA-KR 12B	3
KR 68I-CL 40 S	3
CL 3-KR 65A	3
AV AVENIDA BOYACA-KR 73 S	3
AV AVENIDA CIUDAD DE VILLAVICENCIO-KR 81A	3
CL 146-KR 17	3
KR 68D-CL 2	3
KR 105-CL 64C	3
AV AVENIDA BOYACA-CL 32	3
AC 63-KR 97	3
KR 80-CL 38	3
KR 145-CL 142	3
AC 13-KR 70	3
CL 11-KR 4	3
KR 20-CL 169	3
CL 127A-KR 53A	3
AK 68-CL 37B	3
KR 70B-CL 7	3
KR 68A-CL 23B	3
CL 161-KR 12B	3
KR 32-DG 52 S	3
KR 19D-CL 61B S	3
KR 3-CL 51	3
DG 32C-KR 7A SE	3
CL 166-KR 16B	3
CL 32BIS-KR 2 S	3
AV AVENIDA CARACAS-CL 30	3
AV AVENIDA PRIMERO DE MAYO-KR 2	3
KR 7H-CL 155A	3
KR 17-CL 15	3
KR 101-CL 69	3
CL 42A-KR 90A S	3
AK 14-CL 8	3
KR 41A-CL 5B	3
CL 57R-KR 64 S	3
AV AVENIDA CARACAS-CL 62 S	3
AK 7-CL 76	3
CL 80-KR 68D	3
KR 10-CL 18 S	3
CL 71-KR 4	3
AK 68-CL 99	3
CL 71G-KR 14 S	3
KR 36-CL 19A	3
CL 152B-KR 114B	3
KR 80C-CL 9	3
AV AVENIDA PRIMERO DE MAYO-KR 34D	3
DG 38-KR 86 S	3
KR 88C-CL 54C S	3
CL 73-KR 80C	3
KR 69B-CL 5B	3
DG 40-KR 27 S	3
AK 9-CL 135A	3
KR 80F-CL 42 S	3
CL 75-KR 69B	3
CL 132D-KR 135	3
TR 78N-CL 51A S	3
CL 37B-KR 2A S	3
KR 116B-CL 80A	3
CL 63F-KR 27B	3
KR 86F-CL 35B S	3
CL 56A-KR 78H S	3
KR 98B-CL 147	3
AK 9-CL 134	3
AK 80-CL 26 S	3
KR 68H-CL 78	3
CL 166-KR 8H	3
AV AVENIDA PRIMERA DE MAYO-KR 7	3
CL 91-KR 3 S	3
CL 140-KR 15	3
CL 60-KR 17	3
KR 54-CL 47A S	3
AK 30-CL 100	3
KR 117A-CL 69A	3
AK 9-CL 170	3
KR 73A-CL 56A	3
CL 66-KR 60	3
CL 26-KR 68 S	3
AC 13-KR 130	3
CL 127C-KR 92B	3
KR 69-CL 9	3
KR 86-CL 10 S	3
CL 186-KR 16	3
KR 53-CL 14	3
KR 5U-CL 49C S	3
CL 3-KR 11 S	3
CL 6-KR 11	3
KR 91-CL 62A S	3
KR 86-CL 163	3
AC 17-KR 77	3
AC 22-KR 27 S	3
CL 80-KR 69D	3
CL 70C-KR 17F S	3
CL 75A-KR 14BIS S	3
CL 84-KR 2A SE	3
KR 6-CL 22C S	3
CL 137-KR 14 S	3
CL 48C-KR 22 S	3
DG 16-AK 90	3
CL 1H-KR 37B	3
AC 22-KR 24 S	3
CL 55-KR 87I S	3
CL 64-KR 70D	3
AC 13-KR 69A	3
CL 153-KR 16C	3
CL 84-KR 3A S	3
CL 224-KR 45	3
AV AVENIDA PRIMERA DE MAYO-CL 50 S	3
CL 57-KR 73 S	3
KR 69B-CL 21	3
KR 79-CL 38 S	3
KR 22-DG 22BBIS	3
AV AVENIDA CIRCUNVALAR-KR 85	3
KR 21-CL 68	3
CL 38A-KR 34 S	3
CL 25G-KR 96	3
CL 175-KR 17B	3
KR 41A-CL 3C	3
KR 80A-CL 52 S	3
AV AVENIDA DE LA CONSTITUCION-CL 24	3
CL 9-KR 73B	3
KR 17-CL 15 S	3
AK 10-CL 11	3
CL 5A-KR 41A	3
CL 169B-KR 65	3
KR 12B-CL 26A S	3
KR 114-CL 26	3
AV AVENIDA CIUDAD DE CALI-CL 140C	3
AV AVENIDA DEL SUR-KR 60 S	3
CL 5A-KR 87A S	3
CL 44B-KR 73 S	3
CL 47B-KR 80 S	3
CL 5-KR 31B	3
AV AVENIDA CARACAS-CL 26A S	3
KR 28-CL 74	3
KR 21-CL 65	3
CL 127C-KR 6A	3
AK 72-CL 44 S	3
CL 51-KR 8 S	3
KR 14-CL 8 S	3
CL 129-KR 93B	3
CL 3-KR 64A	3
KR 19D-CL 66 S	3
AV AVENIDA CARACAS-CL 7 S	3
KR 51-CL 36 S	3
CL 37-KR 3 S	3
CL 54-KR 81D S	3
CL 116-KR 54B	3
AK 80-CL 58IBIS S	3
CL 113-KR 57	3
CL 128C-KR 52	3
KR 14-CL 138 S	3
AK 40-CL 22	3
CL 62-KR 22 S	3
AV AVENIDA PRIMERA DE MAYO-CL 26 S	3
CL 42A-KR 90 S	3
KR 100-CL 16A	3
CL 38-KR 72M S	3
AV AVENIDA CIUDAD DE VILLAVICENCIO-CL 49C S	3
CL 25-KR 7 S	3
KR 58-CL 152	3
CL 13-KR 81D	3
CL 9-KR 78A	3
KR 56-CL 5B	3
KR 79-CL 41F	3
KR 70C-CL 68 S	3
AV AVENIDA PRIMERO DE MAYO-KR 40F	3
CL 57R-KR 72F S	3
KR 79-CL 26 S	3
CL 18-KR 103A	3
KR 16-CL 54	3
KR 9-CL 36M ES	3
KR 17-CL 25	3
CL 98-KR 19A	3
KR 94A-CL 6C	3
AV AVENIDA DEL SUR-KR 51B	3
TR 78H-CL 48A S	3
CL 63-KR 58	3
KR 4-CL 70A	3
CL 70A-KR 86B	3
AV AVENIDA PRIMERO DE MAYO-CL 35A S	3
AV AVENIDA DE LAS AMERICAS-AK 72	3
CL 3-KR 71D	3
KR 13-CL 134	3
KR 89A-CL 89	3
CL 63B-KR 72	3
CL 116-KR 71A	3
AK 45-CL 221	3
KR 30-CL 35	3
KR 82-CL 32 S	3
KR 15-CL 71 ES	3
KR 45A-CL 137	3
KR 109-CL 135A	3
AV AVENIDA BOYACA-CL 44F S	3
AK 70-CL 68	3
KR 14V-DG 68A S	3
AK 50-CL 45	3
CL 62-KR 16	3
KR 33-CL 56C S	3
KR 9A-CL 99	3
CL 135C-KR 11	3
KR 20A-CL 170	3
AV AVENIDA DEL SUR-AC 63 S	3
CL 17-KR 57	3
CL 183-KR 18A	3
AV AVENIDA CIUDAD DE VILLAVICENCIO-KR 89B	3
KR 25-CL 51	3
AC 170-KR 9	3
AC 17-KR 118	3
KR 100-CL 15A	3
KR 69-CL 18A	3
CL 209-KR 54	3
CL 132-KR 93A	3
KR 14-CL 96 S	3
CL 64-KR 71F S	3
KR 13A-CL 37	3
CL 4D-KR 65	3
AV AVENIDA BOYACA-CL 18B	3
KR 14-CL 73A S	3
KR 103-CL 23H	3
KR 21-CL 24 S	3
KR 13-CL 152	3
TR 28-CL 53B	3
KR 8-CL 10	3
TR 6B-CL 38 ES	3
CL 129C-KR 91	3
CL 139-KR 146	3
AV AVENIDA CENTENARIO-CL 112	3
CL 48L-KR 5H S	3
CL 4B-KR 39B	3
KR 7B-CL 147	3
CL 64-KR 115	3
CL 138-KR 149B	3
CL 120-KR 7	3
KR 82-CL 19	3
AC 6-KR 25A	3
CL 151-KR 107	3
CL 136-KR 18	3
KR 24-CL 85A	3
KR 7C-CL 108 ES	3
KR 75-CL 25F	3
CL 5-KR 25	3
CL 44-KR 29	3
TR 77-CL 165	3
CL 39-KR 73 S	3
KR 7-CL 199	3
TR 60-DG 2 S	3
CL 55-KR 24B S	3
KR 14BIS-CL 75A S	3
KR 100-CL 22J	3
DG 70-TR 60 S	3
AC 68-KR 65A	3
CL 74B-KR 73A	3
KR 10-CL 17 ES	3
CL 34-KR 5A S	3
AV AVENIDA DEL SUR-CL 65A	3
KR 27-CL 63A	3
CL 80-KR 28B	3
CL 66B-KR 59	3
KR 69A-CL 36 S	3
KR 18-CL 52A	3
TR 78H-CL 44B S	3
KR 68-CL 41 S	3
CL 128-KR 7	3
KR 77-CL 68	3
CL 97-KR 71	3
CL 163-KR 7	3
AV AVENIDA CIUDAD DE VILLAVICENCIO-CL 48C S	3
KR 38-CL 62B S	3
AK 45-CL 167A	3
AV AVENIDA CARACAS-KR 12	3
CL 11-KR 8 SE	3
CL 49H-KR 9 S	3
KR 93-CL 127F	3
CL 63A-KR 71F S	3
TR 19C-DG 62D S	3
CL 4D-KR 67	3
KR 77A-CL 57R S	3
KR 45-CL 217	3
AV AVENIDA DE LAS AMERICAS-CL 73	3
CL 70-KR 105F	3
AK 9-CL 104A	3
CL 57-KR 18A S	3
DG 61B-KR 20	3
CL 147-KR 14B	3
CL 18-KR 22 S	3
AV AVENIDA CIUDAD DE VILLAVICENCIO-TR 36	3
KR 86-CL 9 S	3
KR 20-CL 70L S	3
CL 76A-KR 8A S	3
CL 51-KR 35 S	3
KR 95A-CL 75 S	3
TR 5L-CL 48F S	3
TR 72F-CL 41 S	3
KR 14L-CL 73C S	3
CL 79-KR 27A	3
CL 40A-KR 15	3
CL 38-KR 72I S	3
KR 23-CL 45CBIS	3
CL 145-KR 108	3
CL 129-KR 50	3
KR 16-CL 39A	3
KR 70G-CL 127D	3
KR 7-CL 151	3
KR 86-CL 15A S	3
AV AVENIDA PRIMERA DE MAYO-KR 35 S	3
KR 16-CL 10	3
CL 138-KR 53	3
CL 6-KR 22	3
CL 190-KR 8B	3
AC 57R-KR 67 S	3
DG 50-KR 62 S	3
KR 14-CL 69B S	3
AC 13-KR 73	3
KR 113A-CL 64	3
AV AVENIDA CIUDAD DE VILLAVICENCIO-CL 81D S	3
KR 16-CL 100	3
DG 40-TR 34BIS S	3
AK 19-CL 125	3
KR 105F-CL 70DBIS	3
KR 90A-CL 34A S	3
KR 6-CL 25C S	3
AC 24-KR 81	3
CL 1F-KR 32B	3
CL 22-KR 12B S	3
CL 132-KR 154	3
AC 13-KR 20	3
AV AVENIDA PRIMERA DE MAYO-KR 3 E	3
CL 3-KR 27A	3
KR 17-CL 145A	3
CL 148-KR 97	3
KR 14-CL 85	3
KR 45A-CL 127	3
CL 16-KR 104	3
KR 20-CL 91	3
KR 56-CL 156	3
AK 70-CL 70	3
KR 87-CL 6 S	3
KR 89BISA-CL 59C S	3
AV AVENIDA PRIMERA DE MAYO-KR 40	3
CL 22-KR 3 S	3
KR 113A-CL 22F	3
KR 39-CL 20	3
AC 63-KR 36	3
CL 64-KR 17B S	3
CL 26-KR 98 S	3
KR 28A-CL 77	3
CL 60G-KR 18 S	3
AV AVENIDA DE LAS AMERICAS-KR 78I	3
KR 24-CL 6BIS	3
AV AVENIDA CIUDAD DE VILLAVICENCIO-KR 70C	3
KR 72H-CL 40 S	3
CL 162-KR 8D	3
KR 45-CL 44C	3
AC 13-KR 54	3
CL 71B-KR 86	3
AV AVENIDA LUIS CARLOS GALAN-KR 72	3
TR 21-CL 97	3
KR 21-CL 9A	3
KR 44A-CL 22B	3
AK 45-CL 88	3
KR 67-CL 60 S	3
KR 69K-CL 73	3
KR 111-CL 63	3
CL 78-KR 78C S	3
KR 111A-CL 23A	3
CL 127B-KR 93	3
AV AVENIDA PRIMERO DE MAYO-KR 51	3
KR 90-CL 6D	3
AC 17-KR 134	3
AK 7-CL 56	3
AV AVENIDA BOYACA-AC 38 S	3
KR 19C-CL 48B S	3
KR 14-CL 66 S	3
CL 142-KR 129A	3
CL 63-KR 69C	3
CL 69A-KR 86A	3
KR 73D-CL 33A S	3
KR 14-CL 101 S	3
CL 132D-KR 132	3
AV AVENIDA PRIMERO DE MAYO-KR 50A	3
KR 17F-CL 72 S	3
KR 4A-CL 68	3
AC 127-KR 17A	3
AC 68-KR 52	3
CL 26-KR 68I S	3
KR 86-CL 12 S	3
CL 161-KR 21	3
KR 68-CL 67A	3
CL 68-KR 67	3
AV AVENIDA CARACAS-CL 31B S	3
CL 47-KR 14	3
CL 6A-KR 94A	3
CL 77-KR 114	3
KR 9B-CL 23 ES	3
KR 73-CL 57R S	3
CL 193-KR 4	3
AV AVENIDA SUBA-KR 97	3
KR 4C-CL 35 S	3
KR 80-CL 73	3
AK 30-CL 93BIS	3
AV AVENIDA BOYACA-CL 68A S	3
AC 13-KR 135	3
KR 80-CL 61 S	3
CL 26-KR 51D S	3
KR 5-CL 31 S	3
KR 18C-CL 2	3
CL 46-KR 27 S	3
CL 65A-KR 77H S	3
KR 7-CL 37 S	3
DG 83-TR 81A	3
KR 72RBIS-CL 45 S	3
CL 42-KR 78P S	3
TR 60-CL 51A S	3
KR 109A-CL 148	3
KR 53-CL 15	3
CL 122-KR 13	3
CL 71A-KR 5	3
CL 61-KR 16	3
AV AVENIDA CIRCUNVALAR-CL 35	3
CL 82-KR 83	3
CL 19A-KR 69	3
AV AVENIDA BOYACA-AC 59A S	3
KR 6-CL 2	3
CL 175-KR 20	3
AC 13-KR 53	3
AC 57R-KR 76A S	3
KR 50-CL 27 S	3
AK 19-CL 147	3
CL 132-KR 94C	3
CL 139-KR 91	3
KR 14L-CL 68B S	3
CL 77-KR 116C	3
KR 43A-CL 21	3
CL 132-KR 108	3
CL 77-KR 3	3
KR 25-CL 24	3
DG 46-KR 13 S	3
DG 87-KR 14L S	3
CL 39-KR 29 S	3
KR 14-CL 136 S	3
CL 64B-KR 104	3
KR 9-CL 133	3
CL 6A-KR 89 S	3
AC 17-KR 88	3
KR 37A-CL 53B S	3
TR 30-CL 58 S	3
KR 14A-CL 83	3
KR 113-CL 81	3
KR 14-CL 41	3
KR 15A-CL 119	3
KR 24-CL 39 S	3
CL 175-KR 72	3
KR 79C-DG 2	3
KR 36A-CL 57	3
CL 26-KR 66C	3
KR 19-CL 42A	3
KR 64-CL 77	3
KR 87C-CL 70A S	3
KR 70-CL 2	3
KR 4-CL 186	3
KR 27-CL 1 S	3
KR 20B-CL 75	3
KR 63-CL 57G S	3
AC 71-KR 3J S	3
KR 17F-CL 70C S	3
AC 8-KR 78	3
CL 21-KR 40	3
KR 3-CL 2D E	3
DG 5A-KR 72D	3
KR 78N-CL 43 S	3
KR 6-CL 11 ES	3
CL 44-KR 68B S	3
AC 51-KR 7 S	3
KR 13F-CL 59 S	3
KR 50-CL 134	3
KR 111C-CL 68C	3
KR 14L-CL 73A S	3
CL 127A-KR 11B	3
KR 32-CL 19B	3
AV AVENIDA PRIMERO DE MAYO-KR 29D	3
KR 86-CL 69B	3
AV AVENIDA JORGE GAITAN CORTEZ-AV AVENIDA CIUDAD DE VILLAVICENCIO	3
KR 11-CL 102	3
AV AVENIDA CIUDAD DE CALI-CL 23G	3
KR 14-CL 37 S	3
AK 19-CL 128B	3
KR 1-DG 76	3
CL 92-KR 30	3
KR 68F-CL 69BISA	3
AV AVENIDA CIUDAD DE CALI-CL 42	3
AV AVENIDA DE LAS AMERICAS-CL 69	3
KR 99-CL 70	3
AC 19-KR 5	3
CL 128-KR 93	3
AV AVENIDA CARACAS-CL 30 S	3
AV AVENIDA CIUDAD DE CALI-CL 7 S	3
KR 17-CL 14 S	3
KR 72A-CL 11A	3
AK 86-CL 87	3
CL 40-KR 3C SE	3
CL 59-KR 82G S	3
DG 39A-KR 50 S	3
KR 19-CL 70	3
AV AVENIDA PRIMERO DE MAYO-CL 70B	3
KR 26-CL 12	3
CL 45-KR 15A	3
CL 163A-KR 14A	3
AK 19-CL 103	3
AV AVENIDA CIUDAD DE VILLAVICENCIO-AV AVENIDA PRIMERA DE MAYO	3
KR 27B-CL 71I S	3
KR 28A-CL 67	3
CL 64-KR 20A S	3
CL 75-KR 28	3
AV AVENIDA PRIMERO DE MAYO-CL 72B	3
KR 17A-CL 116	3
KR 14-CL 15	3
CL 114-KR 19	3
AV AVENIDA CARACAS-KR 14	3
AV AVENIDA CIUDAD DE VILLAVICENCIO-CL 91 S	3
CL 26-KR 87H S	3
CL 97-KR 62	3
KR 6-CL 45	3
DG 81G-TR 76	3
KR 35-CL 10	3
KR 9-CL 12C	3
KR 1-CL 76	3
CL 57-KR 19 S	3
AV AVENIDA JORGE GAITAN CORTES-DG 58 S	3
AK 72-CL 48A	3
KR 86D-CL 42F S	3
CL 43-KR 88A S	3
KR 70-CL 64H	3
TR 3-CL 51A	3
CL 17A-KR 6 SE	3
CL 77A-KR 76	3
KR 45A-CL 95	3
CL 27A-KR 1 SE	3
CL 71-KR 77	3
CL 2-KR 87F	3
AC 145-KR 89	3
KR 104-CL 158	3
KR 15-CL 33	3
CL 164-KR 15	3
KR 86-CL 52 S	3
KR 22-CL 50	3
CL 186-KR 7	3
CL 9-KR 2 S	3
CL 40A-KR 79 S	3
KR 50-CL 150	3
AC 85-KR 12	3
TR 126-CL 135B	3
KR 17F-CL 75B S	3
AV AVENIDA DEL SUR-CL 68 S	3
KR 50-CL 106	3
AK 7-CL 89	3
KR 70F-CL 74B	3
CL 1-KR 8C	3
CL 75-KR 70F	3
KR 113B-CL 63I	3
AV AVENIDA DE LAS AMERICAS-CL 71A	3
CL 1A-KR 83	3
AV AVENIDA DE LAS AMERICAS-CL 42	3
CL 172A-KR 21A	3
KR 17-CL 18 S	3
CL 65BIS-KR 86	3
CL 75-KR 55	3
CL 41-KR 2 SE	3
KR 87I-CL 38 S	3
KR 38-CL 59B S	3
AV AVENIDA CIUDAD DE CALI-CL 64C	3
CL 76B-KR 14 S	3
TR 95A-CL 25D	3
KR 29B-CL 10	3
AC 23-KR 113	3
CL 79-KR 15	3
CL 130-KR 58C	3
CL 127A-KR 70G	3
CL 62D-KR 72C S	3
KR 82-CL 1 S	3
CL 43-KR 79A S	3
AV AVENIDA DEL SUR-CL 55 S	3
CL 53-KR 51	3
AK 50-CL 44	3
KR 110G-CL 71C	3
KR 128-CL 146	3
AV AVENIDA PRIMERO DE MAYO-KR 70C	3
KR 25-CL 52B S	3
KR 20-CL 23 S	3
KR 28A-CL 63D	3
AK 19-CL 152A	3
KR 89-CL 45 S	3
CL 22-KR 96A	3
CL 83-KR 103	3
KR 82A-CL 6 S	3
CL 73-KR 97C S	3
AC 100-KR 61	3
KR 7B-CL 26 S	3
CL 75-KR 111C	3
KR 68-CL 92	3
CL 77-KR 69B	3
KR 57-CL 97	3
KR 14-CL 104 S	3
KR 27-CL 2B	3
CL 4D-KR 63	3
AK 86-CL 70	3
CL 116-KR 71B	3
AC 3-KR 54	3
AV AVENIDA CARACAS-CL 77	3
CL 11-KR 24	3
CL 63-KR 25	3
KR 52-CL 44	3
AV AVENIDA DEL SUR-KR 12 S	3
CL 57-KR 13F S	3
KR 14-CL 79	3
AC 100-KR 13	3
CL 70B-KR 106A	3
KR 77M-CL 63 S	3
CL 92-KR 14	3
CL 51-KR 24	3
CL 108-KR 47	3
