	Address	Latitude	Longitude
110	CL 36-KR 12	4.6244016	-74.06773805
111	CL 90A-KR 7 SE	4.71840445	-74.10198245
112	TR 76-CL 81C	4.6984274	-74.0995739
113	KR 5-CL 48P	4.6354346	-74.06700355
114	DG 34B-TR 83 S	4.60652575	-74.1327565
115	CL 39A-TR 73D S	4.6175168	-74.1516354
116	CL 64I-KR 71	4.6775427	-74.0990878
117	KR 20-CL 69	4.6585736	-74.0670812
118	KR 114-CL 14	4.6794118	-74.1678826
119	TR 1BISB-AC 49B ES	4.7521266	-74.0503662
120	KR 27-CL 36 S	4.560654	-74.0981789
121	AV AVENIDA CIRCUNVALAR-AC 51	4.653193	-74.0494959
122	CL 42F-KR 81A S	4.62912005	-74.06417131
123	KR 30-CL 85ABIS	4.6188344	-74.0727159
124	KR 45B-CL 63B S	4.71006025	-74.1431223
125	AC 43-KR 86B S	4.6987429	-74.0515257
126	KR 115-CL 79	4.72076292	-74.12191056
127	TR 150-CL 80A	4.73183975	-74.0474052
128	AV AVENIDA PRIMERO DE MAYO-AC 40D S	4.5710305	-74.0889778
129	CL 12-KR 5 S	4.5779142	-74.0852213
130	KR 87-CL 61 S	4.591286	-74.172944
131	DG 13BIS-KR 24B S	4.56501097	-74.12269631
132	CL 77-KR 73B S	4.6894091	-74.08868775
133	CL 2-KR 88B	4.64285	-74.160789
134	KR 2-CL 30B ES	4.6146728	-74.0651603
135	TR 73D-CL 40 S	4.6177624	-74.152737
136	CL 40-KR 93 S	4.63040335	-74.07605915
137	AV AVENIDA DEL SUR-AC 68B	4.6094017	-74.1283124
138	CL 87-KR 6B SE	4.62043035	-74.2113602
139	KR 77IBIS-CL 65A S	4.691226	-74.1164246
140	CL 58-KR 14 S	4.603993	-74.1793256
141	CL 71A-KR 77ABIS S	4.654285	-74.05398
142	KR 15-CL 47B ES	4.6330114	-74.0617431
143	DG 45A-KR 50 S	4.5435352	-74.1106052
144	KR 68I-CL 35 S	4.62385255	-74.0698418
145	AV AVENIDA DE LA CONSTITUCION-KR 72	4.6838949	-74.0915091
146	AV AVENIDA CIRCUNVALAR DEL SUR-CL 76	4.54160841	-74.14654841
147	TR 73B-CL 60A S	4.6016106	-74.1799455
